id,dept,first,last,numratings,overall_rating
2442,Physics,Randy,Lewis,22,4.9
2443,Social Work,Tanice,Lewis,1,1
2444,Health Policy & Management,Joel,Lexchin,36,4.2
2445,Dance,Sarita,Leyva,3,4.7
2446,Chemistry,Clifford C.,Leznoff,26,3.4
2447,Business,Stan Xiao,Li,20,3.3
2448,Administration,Xiaofei,Li,0,
2449,Mathematics,Shu Xiao,Li,11,3.5
2450,Marketing,Lee,Li,119,4.3
2451,Business Administration,Zhepeng,Li,21,1.8
2452,Administration,Na,Li,4,3
2453,"Languages, Literatures & Linguistics",Yanfei,Li,1,5
2454,Psychology,Adrienne,Li,7,1.9
2455,Computer Science,Kaiyu,Li,7,4.7
2456,Economics,Xianghong,Li,73,2.3
2457,Finance,Xiaofei,Li,41,3.4
2458,Chinese,Jessica Tsui-Yan,LI,6,4.7
2459,Mathematics,Dongchen,Li,2,5
2460,Business,Jie,Lian,5,1.4
2461,Computer Science,Peter,Lian,25,2.2
2462,Mathematics,Dliang,Liang,2,4.5
2463,Human Resources Management,Lindie,Liang,6,4.3
2464,Mathematics,Dong,Liang,3,3.3
2465,Information Technology,Sotirios,Liaskos,21,3.6
2466,"Languages, Literatures & Linguistics",Abril,Liberatori,2,4
2467,Law,Rick,Libman,9,3.2
2468,Administration,Nicole,Lichowit,0,
2469,Biology,Lawrence,Licht,42,3.8
2470,Music,David,Lidov,11,2.2
2471,Finance,Avrum,Lieberman,2,4.8
2472,Social Work,Maria,Liegghio,11,3.8
2473,Communication,Evan,Light,4,4.8
2474,Humanities,Bernard,Lightman,13,3.5
2475,Economics,Alla,Lileeva,58,2.5
2476,History,Chin,Lim,6,4.8
2477,Accounting,Martine,Lim,4,3.2
2478,Humanities,Elisha,Lim,0,
2479,Marketing,Hyunwoo,Lim,6,5
2480,Business,William,Lim,51,3
2481,Languages,John,Limnidis,61,4.3
2482,Social Work,Kennes,Lin,1,4
2483,Nursing,Cui,Lin,2,5
2484,Administration,Emma,Lind,1,4.5
2485,Education,Laura Mae,Lindo,3,4.8
2486,Law,Liana,Ling,26,2.9
2487,"Languages, Lit., & Linguistics",Shawna,Lino,1,2
2488,Languages,Shanna,Lino,13,4.8
2489,Communication Studies,Richard,Lippe,0,
2490,Film,Richard,Lippe,26,3.5
2491,Social Science,Carla,Lipsig-Mumme,10,3.8
2492,Humanities,Linda,Lipsky,2,4
2493,Human Resources Management,Barbara,Lipton,12,3.2
2494,Information Technology,Marin,Litoiu,11,2.8
2495,Women's Studies,Mike,Litoris,0,
2496,Anthropology,Kenneth,Little,17,4.1
2497,Psychology,Zhongxu,Liu,6,3
2498,Information Technology,Jay,Liu,0,
2499,Information Technology,Yi,Liu,0,
2500,Mathematics,Wei,Liu,9,2.6
2501,Social Science,Jaime,Llambias-Wolff,28,2.8
2502,Social Sciences,Jamie,Llambias-Wolff,4,2.2
2503,Geography,Lucia,Lo,6,1.7
2504,Economics,Kin Chung,Lo,39,3.7
2505,Accounting,Vita,Lobo,2,2.8
2506,History,Cindy,Loch-Drake,26,3.4
2507,Social Science,Emily,Lockhart,1,1
2508,Humanities,Martin,Lockshin,15,4.2
2509,English,Thomas,Loebel,54,4.3
2510,Political Science,Rodney,Loeppky,47,4
2511,Administration,Rudi,Lof,17,4.2
2512,Music,Lorne,Lofsky,3,4.8
2513,Social Science,Steven,Logan,2,3
2514,Philosophy,Beryl,Logan,37,3.4
2515,Finance,Tullo,Lois,8,4.1
2516,Geography,Peter,Long,38,3.1
2517,Law,Michael,Long,4,4.4
2518,Film,Brenda,Longfellow,20,2.3
2519,Sociology,Steven,Longstaff,2,2.5
2520,Human Resources Management,Soosan,Lootham,4,3
2521,Finance,Orlando,Lopez,39,4.3
2522,Mathematics,Lee,Lorch,0,
2523,English,Michelle,Lorimer,3,5
2524,Biology,Christopher,Lortie,250,4.3
2525,Education,Heather,Lotherington,13,2.5
2526,Biology,Barry,Loughton,15,3.6
2527,Computer Science,Lew,Louther,10,2.2
2528,Administration,Linda,Love,19,3.6
2529,Business,Jim,Love,4,3.2
2530,Business Administration,James,Love,17,1.8
2531,History,Paul,Lovejoy,5,1
2532,Design,Katrina,Lovrick,5,4.8
2533,Social Sciences,Benjamin,Lowinsky,2,1
2534,Philosophy,Ben,Lowinsky,75,2.1
2535,Computer Science,Lew,Lowther,100,3
2536,Applied Mathematics,David,Ltanny,0,
2537,Philosophy,Dylan,Ludwig,3,5
2538,Psychology,Gigi,Luk,5,4.9
2539,Drama Studies,Aleksandar,Lukac,16,4.9
2540,Not Specified,.,Lukac,6,4.8
2541,Humanities,Jonathan,Luke,0,
2542,Nursing,Lillie,Lum,12,1.9
2543,Natural Sciences,Ian,Lumb,54,3.8
2544,Mathematics,Allysa,Lumley,0,
2545,Anthropology,David,Lumsden,48,4.5
2546,Information Technology,Manuel,Luna,72,2.1
2547,Science Technology & Society,Dov,Lungu,74,2.4
2548,Biology,Katherine,Lunn,0,
2549,Social Science,Allyson,Lunny,38,3.9
2550,Geography,Elizabeth,Lunstrum,26,3.7
2551,Science,Lin,Luo,0,
2552,Information Technology,Xuan,Luo,0,
2553,Humanities,Karen,Lurkhur,18,4.4
2554,Business,Michele,Lustman,7,4.1
2555,Earth Science,Chris,Luszczek,3,3.3
2556,Earth Science,Christopher,Luszczek,5,2.8
2557,Psychology,Michael,Luther,140,2.7
2558,Women's Studies,Meg,Luxton,8,3
2559,Social Science,.,Lykke De La Cour,7,3.1
2560,Languages Lit.  Linguistics,Michael,Lynn,2,5
2561,Nursing,Harwood_lunn,Lynne,6,3.2
2562,Natural Sciences,Armour,M. H,12,2.5
2563,Administration,Zhong,Ma,7,2.9
2564,Business,Mary,MA,6,3
2565,Chinese,Jia,Ma,1,2.5
2566,Psychology,Liya,Ma,0,
2567,Computer Science,Burton,Ma,47,4.2
2568,Accounting,Li Zhi,MA,38,2.4
2569,Business,Mekki,MacAulay,1,3.5
2570,Political Science,Robert,Macdermid,44,3.7
2571,Business,Graeme,MacDermid,8,2.2
2572,Law,R. Peter,MacDonald,16,4.7
2573,Social Science,J. Grant,MacDonald,17,4.6
2574,Psychology,Suzanne,MacDonald,37,5
2575,Political Science,Sheila,MacDonald,0,
2576,Music,James,MacDonald,0,
2577,Communication Studies,Sonja,MacDonald,3,4.8
2578,Social Work,Grant,MacDonald,1,5
2579,Law,Peter,MacDonald,34,4.6
2580,Anthropology,Maggie,MacDonald,38,3.4
2581,Geography,Mallory,MacDonnell,2,3
2582,Health,Judith Ann,MacDonnell,1,3
2583,History,Brian,MacDowall,3,4.7
2584,Humanities,Philip,MacEwen,73,2.4
2585,History,Karen,MacFarlane,10,2.3
2586,Mathematics,John,Machacek,8,4.9
2587,Political Science,Rhys,Machold,2,4
2588,Social Work,Teresa,Macias,20,2.9
2589,Accounting,Lynne,MacInnes,3,3.7
2590,Social Science,William,Macintyre,1,1
2591,Environmental Studies,Carley,Mackay,2,2.5
2592,Humanities,Ruth,MacKechnie,3,5
2593,Public Administration,stephanie,mackenzie,2,3.5
2594,Computer Science,Scott,MacKenzie,34,3.7
2595,Visual Arts,Michelle,MacKinnon,0,
2596,Social Science,Kinnon,Mackinnon,4,3
2597,Philosophy,Alice,MacLachlan,29,3.9
2598,Environmental Studies,James,MacLellan,1,1.5
2599,Communication Studies,Jo-Anne,MacLellan,63,4.1
2600,Social Science,Anne,MacLennan,66,3.2
2601,Sociology,Trish,MacMillan,4,3.6
2602,Accounting,Jane,MacNaughton,2,5
2603,Environmental Studies,Rod,Macrae,9,1.8
2604,Political Science,Heather,MacRae,13,4.8
2605,Business,Garrett,MacSweeney,5,3.5
2606,Mathematics,Malcolm,MacTaggart,56,3.6
2607,Computer Science,Pooria,Madani,6,3.5
2608,Accounting,Saeed,Madannejad,4,4.6
2609,Information Technology,Nahid,Madenouei,0,
2610,Business,Anoop,Madhok,6,1.8
2611,Nursing,Sean,Madorin,14,3.9
2612,Mathematics,Neal,Madras,41,4.2
2613,Business,Joanne,Magee,32,2.8
2614,Marketing,Marian,Magrane,5,4.6
2615,Dance,Terril,Maguire,3,2.7
2616,Engineering,Yadollah,Maham,3,4
2617,Geography,Bill,Mahaney,24,2.9
2618,Administration,Gajindra,Maharaj,22,4.7
2619,Nursing,Christine,Maheu,5,4.7
2620,Computer Science,Alireza,Mahmoodi,0,
2621,Economics,Chowdhury,Mahmoud,8,3
2622,Nursing,Mary,Mahon,0,
2623,Philosophy,Johannes,Mahr,5,3.2
2624,History,Maynard,Maidman,59,2.7
2625,Political Science,Derek,Maisonville,1,4.5
2626,Economics,Sudeshna,Maitra,36,3.2
2627,Health Science,Mohammed,Majid,11,4.7
2628,Accounting,Nina,Mak,1,5
2629,English As A Second Language,Olga,Makinina,9,4.4
2630,Humanities,Elliot,Malamet,8,4.3
2631,Fine Arts,Aryana,Malekzadeh,2,3
2632,Political Science,Terry,Maley,40,4.3
2633,Social Science,Shakil,Malik,0,
2634,Anthropology,Waseem,Malik,42,3.2
2635,Economics,Sadia,Malik,47,4.1
2636,Economics,Sadia Mariam,Malik,68,4
2637,Creative Writing,Pasha,Malla,2,5
2638,Nursing,Claire,Mallette,15,2.8
2639,Philosophy,Sam,Mallin,13,3.5
2640,Kinesiology,Greg,Malszecki,119,4.5
2641,Mathematics,Kim,Maltman,42,2.6
2642,Chemistry,Mary,Mamais,0,
2643,Law,Michael,Mamo,1,2
2644,Mathematics,Ami,Mamolo,4,3.9
2645,Disaster Management,Aaida,Mamuji,11,4
2646,Social Science,Guida,Man,30,2.5
2647,Sociology,Guida,Man,4,2
2648,Social Science,Barbara,Man Hanson,0,
2649,Philosophy,Alexandru,Manafu,24,4.8
2650,Political Science,Tina,Managhan,12,2.7
2651,Psychology,Harvey,Mandel,15,4.9
2652,Computer Science,Marvin,Mandelbaum,21,2.1
2653,Sociology,Nancy,Mandell,55,4.3
2654,Psychology,Charles,Mander,1,3
2655,English,Kerry,Manders,17,3
2656,Theatre,Derek,Manderson,1,4
2657,Natural Sciences,Reza,Mani,5,4
2658,Dance,Mary-Elizabeth,Manley,3,3.3
2659,Psychology,Nikki H.,Mann,8,3.2
2660,Social Science,Salewa,Mann,0,
2661,Education,Joy,Mannette,33,2.1
2662,Anthropology,Lynda,Mannik,114,3.4
2663,Nursing,Jacob,Mannil,11,4.3
2664,Social Science,Rachel,Manning,1,4.5
2665,Psychology,Kunalan,Manokara,3,4.7
2666,Education,Margaret,Manson,14,3.4
2667,Economics,Arman,Mansoorian,56,3.6
2668,Humanities,Julian,Manyoni,13,4.2
2669,Mathematics,Oleksandr,Manzyuk,5,1.8
2670,Health Science,Joseph,Mapa,2,1.5
2671,Psychology,Alistair,Mapp,214,4.5
2672,Computer Science,Sana,Maqsood,0,
2673,Psychology,Raymond,Mar,71,3.3
2674,Design,James Jamie,March,5,4
2675,Psychology,Frank,Marchese,215,3.3
2676,Film,Janine,Marchessault,15,4
2677,Theatre,Elan,Marchinko,5,3.4
2678,Business,Joel,Marcus,1,4.5
2679,Business Administration,Joel,Marcus,44,3.7
2680,Education,Pat,Margerm,15,2.1
2681,Legal Studies,Marian,Marian MacGregor,4,3.5
2682,Marketing,Dan,Mariani,4,1.1
2683,Political Science,Kad,Mariano,0,
2684,Languages,Nina,Marino,16,3
2685,Languages,Christian,Marjollet,16,4.9
2686,Music,Irene,Markoff,21,3.1
2687,Psychology,Miriam,Marling,6,3.8
2688,International Studies,Alina,Marquez,25,3.5
2689,English,Evelyn,Marrast,18,2.6
2690,Physics,Cemile,Marsan,19,1.4
2691,Science,Zehra,Marsan,3,1
2692,History,Mauro,Marsella,5,4.7
2693,Business,Alan,Marshall,177,2.9
2694,Finance,Alan,Marshall,5,3.9
2695,History,Marcel,Martel,104,4.6
2696,Social Science,George,Martell,4,5
2697,Legal Studies,Sophia,Martensen,0,
2698,Music,Stephanie,Martin,13,3.6
2699,Sociology,Aryn,Martin,11,4.3
2700,Womens & Gender Studies,Jessica,Martin,1,5
2701,Dance,Blake,Martin,0,
2702,Health,Jordi,Martin,0,
2703,Psychology,Jodi,Martin,79,4.7
2704,Research,Jodi,Martin,6,5
2705,English,Ian,Martin,10,2
2706,Languages,Alejandro,Martinez,32,3.7
2707,"Languages, Lit., & Linguistics",Emiro F.,Martinez-Osorio,15,3.2
2708,"Languages, Literatures & Linguistics",Catia,Martins,11,2
2709,Natural Sciences,Robin,Marushia,28,4.4
2710,Economics,Mahmoud,Marzouk,38,4.2
2711,Management,David,Maslach,2,3.5
2712,Humanities,Steve,Mason,6,3.7
2713,Humanities,Leslie,Mason,22,3.8
2714,Business Administration,Julian,Mason-Espin,14,4.8
2715,Mathematics,Helene,Massam,36,2
2716,Social Work,Notisha,Massaquoi,1,5
2717,Health,Ariane,Massie,1,5
2718,Finance,Nadia,Massoud,7,1.4
2719,"Languages, Lit., & Linguistics",John,Mastrogianakos,18,4.3
2720,Social Science,Maura,Matesic,8,4.8
2721,Finance,Binu,Mathai,5,3.3
2722,Geography,Vanessa,Mathews,1,4.5
2723,Law,Joy,Mathews,0,
2724,Music,Devika,Mathur,20,2.9
2725,Finance,Humaira,Matin,5,4.2
2726,Social Work,Atsuko,Matsuoka,11,2.6
2727,Business,Dirk,Matten,4,4.9
2728,Philosophy,Dale,Matthew,9,1.6
2729,Business,Manfred,Maute,35,3.4
2730,Accounting,Amin,Mawani,18,3.2
2731,Human Resources Management,Kelly,Mawhinney,14,4.6
2732,Political Science,Michelle,Mawhinney,12,4.1
2733,Women's Studies,Michelle,Mawhinney,60,3.3
2734,Engineering,Andrew,Maxwell,21,2.2
2735,Mathematics,Natasha,May,67,4.7
2736,Finance,Anthony,Mayadunne,3,2.3
2737,Theater,John,Mayberry,7,3.4
2738,Communication Studies,Patricia,Mazepa,11,4
2739,Political Science,Paul,Mazzocchi,20,3.8
2740,Languages,Francesca,Mazzoli,17,3.9
2741,Anthropology,Carlota,McAllister,15,3.2
2742,Philosophy,Dan,McArthur,58,4.4
2743,Business,Ken,McBey,24,3.4
2744,Film,Carol,McBride,15,4.6
2745,Chemistry,Lucas,McCann,3,4.7
2746,Psychology,Doug,McCann,217,4.1
2747,Nursing,Dianne,McCauley,11,1.7
2748,Sociology,Timothy,McCauley,69,3.1
2749,English As A Second Language,Brenda,McComb,25,3.4
2750,Earth Science,John,McConnell,10,2.5
2751,Administration,Douglas,McCready,11,1
2752,Film,John,McCullough,76,3.4
2753,Earth Science,Ian,McDade,27,4.7
2754,Social Science,Patricia,McDermott,25,3.4
2755,Biology,John,McDermott,29,3.3
2756,Visual Arts,David,McDougall,4,4
2757,Mathematics,Andrew,McEachern,105,3.4
2758,Fine Arts,Elle,McEeough,0,
2759,Psychology,Ian,McEwan,0,
2760,Biology,Eryn,McFarlane,3,5
2761,Anthropology,Karen,McGarry,50,4.6
2762,Business,Michael,McGarry,2,5
2763,Human Resources Management,Michael,McGarry,56,4.4
2764,Psychology,Ian,McGregor,144,3.8
2765,Music,Colin,McGuire,12,4.5
2766,Social Work,Wendy,McGuire,13,4.3
2767,English,Megan,McGurk,3,1.7
2768,Social Science,Kim,McIntyre,2,5
2769,Languages,Peter,McIsaac,4,4.2
2770,Business,Kevin,McKague,8,4.4
2771,Social Work,Wendy,McKeen,10,4.1
2772,Architecture,James,Mckellar,2,2.8
2773,Business,Steve,McKenna,25,3.9
2774,Marketing,Deb,McKenzie,13,2.3
2775,Not Specified,Andrea,Mckenzie,20,4.3
2776,Economics,Robert,McKeown,12,4.6
2777,Theatre,James,McKernan,4,3.8
2778,Theater,Peter,McKinnon,42,3.6
2779,Chemistry,Robert,McLaren,18,4
2780,English,Laura,McLauchlan,2,5
2781,Writing,Paul,McLaughlin,20,2.9
2782,Accounting,Ingrid,McLeod-Dick,22,3.7
2783,Sociology,Arthur,McLuhan,11,4.6
2784,History,Colin,McMahon,16,4.2
2785,Health,Mary,McMahon,0,
2786,Sociology,Angelica,McManus,0,
2787,Liberal Studies,Matthew,McManus,15,4.4
2788,Psychology,Meaghan,McManus,0,
2789,Education,Doug,McMillan,1,4.5
2790,Business,Charles,McMillan,22,1.9
2791,Psychology,Carly,McMorris,3,4.3
2792,Social Science,John-Justin,McMurtry,30,4.1
2793,History,David,McNab,17,3.9
2794,Political Science,David,McNally,22,4.7
2795,Mathematics,Michael,McNamee,10,4
2796,Psychology,Laurie,McNelles,26,3.9
2797,Women's Studies,Deborah,McPhail,4,4.6
2798,History,Ian,McPhedran,3,4.5
2799,History,Katheryn,McPherson,0,
2800,History,Kathryn,McPherson,0,
2801,History,Kate,McPherson,40,3.5
2802,Social Science,John,McQuade,0,
2803,Social Work,Wendy,McQuire,2,3.8
2804,TA,Ryan,McVeigh,10,4.8
2805,Communication,Casey,Mecija,2,5
2806,Business,Thomas,Medcof,40,4.5
2807,Geography,Andrew,Medeiros,10,3.2
2808,TA,Andrea,Medovarski,28,4.1
2809,Health,Stella,Medvedyuk,1,5
2810,English,Shannon,Meek,10,4.7
2811,Nursing,Andrea,Meghie,6,3.1
2812,Biochemistry,Banafsheh,Mehrazma,52,1.3
2813,Social Science,Hena,Mehta,1,2
2814,Health,Brad,Meisner,9,4.4
2815,Social Science,Merouan,Mekouar,42,4
2816,Marketing,Leslie,Melamed,13,1.6
2817,Social Science,Sophia,Melanson,3,5
2818,Engineering,Garrett,Melenka,7,3.6
2819,Music,Anna,Melnikoff,6,4.7
2820,Kinesiology,Jonathan,Memme,7,4.1
2821,Physics,Scott,Menary,34,4.2
2822,English As A Second Language,David,Mendelsohn,6,5
2823,English,Jonathan,Mendelsohn,0,
2824,Applied Human Sciences,Jonathan,Mendelsohn,20,4.6
2825,Social Science,Joseph,Mensah,30,4.2
2826,Mathematics,Idris,Mercer,5,3.9
2827,Human Resources Management,Marlee,Mercer,0,
2828,Management,Marlee,Mercer,4,4.2
2829,History,Brad,Meredith,1,5
2830,Education,Eva,Meriorg,6,2.1
2831,Physics,Ozzy,Mermut,17,3.2
2832,Business,Yuval,Meron,12,2.2
2833,French Studies,Farida,Mersali,3,2
2834,Political Science,Emily,Merson,11,4.7
2835,Administration,Ihsan,Mert,4,4.6
2836,Natural Sciences,Robin,Metcalfe,111,4.2
2837,Art History,Kira,Meyers-Guiden,1,4
2838,Science Technology  Society,Helene,Mialet,10,2.9
2839,Psychology,Paula,Miceli,8,2.5
2840,Social Science,Vanessa,Miceli,1,4
2841,Humanities,Tony,Michael,70,3.3
2842,French Studies,Elsa,Michael,55,2.1
2843,Education,Kelly,Michalicka,2,5
2844,English,Kim,Michasiw,57,4.1
2845,Information Technology,Tony,Micheal,4,4.9
2846,Humanities,Tony,Micheal,2,1
2847,Political Science,Jason,Michelakos,7,4.4
2848,Music,Anthony,Michelli,2,3.5
2849,History,Michael,Michie,8,4.4
2850,Mathematics,Valery,Michkine,163,2.1
2851,Mathematics,Valeri,Michkine,27,1.9
2852,Marketing,Alan,Middleton,6,3.8
2853,Economics,Frank,Miele,19,3.9
2854,Economics,Josepa,Miguel-Florensa,0,
2855,Urban Studies,Joe,Mihevc,7,1.7
2856,Business,Moshe,Mikanovsky,1,5
2857,Design,Diane,Mikhael,0,
2858,Womens & Gender Studies,Mel,Mikhail,0,
2859,Theatre,Peter,Mikhail,10,2.4
2860,Management,Elma,Milasin,0,
2861,Business,Greg,Milavsky,29,5
2862,Business,Moshe,Milevsky,13,3.4
2863,Finance,Moshe,Milevsky,23,4.1
2864,Administration,Stephanie,Miliken,1,3
2865,Nursing,Mary Anne,Millar,4,2.4
2866,Education,Joanne,Millard,5,4.1
2867,Education,Mary Jane,Miller,0,
2868,Business,Frank,Miller,10,2.2
2869,Environmental Studies,Eric,Miller,2,4.5
2870,Marketing,Jason,Miller,0,
2871,Biology,David,Miller,11,4.6
2872,Psychology,Tony,Miller,1,5
2873,Management,Gary,Miller,11,4.8
2874,Business,Stephanie,Milliken,0,
2875,Human Resources Management,Shelley,Millman,4,4.5
2876,Psychology,Jennifer,Mills,41,4.4
2877,Natural Sciences,Alexander,Mills,93,4.5
2878,English,David,Milman,8,4.1
2879,Marketing,John,Milne,15,3.8
2880,Social Science,Jovan,Milosevic,5,4.1
2881,Computer Science,Andrew,Mir,0,
2882,Chemistry,Tihana,Mirkovic,53,4.1
2883,Social Science,Tanner,Mirrlees,14,4.7
2884,Education,Sabina,Mirza,3,4
2885,Chemistry,Hameed A.,Mirza,123,2
2886,Computer Science,Andranik (Andy),Mirzaian,66,3.8
2887,Arabic,Carmela,Mishaiel,3,5
2888,Economics,Dev,Misir,20,2.7
2889,Science Technology  Society,Benjamin,Mitchell,0,
2890,Kinesiology,Michael,Mitchell,8,3.5
2891,Nursing,Mitzi,Mitchell,154,4.8
2892,Women's Studies,Allyson,Mitchell,23,3.5
2893,History,Leila,Mitchell-Mckee,10,4.7
2894,Languages Lit.  Linguistics,Akiko,Mitsui,9,4.6
2895,History,Gregory,Mixon,3,2
2896,Accounting,Neal,Mizrahi,21,4.4
2897,Kinesiology,George,Mochizuki,6,5
2898,Business,Peter,Modir,96,3.5
2899,Business Economics,Shahab,Modirmassihai,24,3.9
2900,Education,Alesha,Moffat,0,
2901,Mathematics,Seyed,Moghadas,25,1.9
2902,Kinesiology,Asal,Moghaddaszadeh,3,3.7
2903,Social Science,Haideh,Moghissi,13,4.3
2904,Cultural Studies,Michelle,Mohabeer,45,1.4
2905,Gender Studies,Michelle,Mohabeer,1,1
2906,Sociology,Ali,Mohamed,1,4
2907,Business Administration,Shoeb,Mohammad,1,5
2908,Social Science,Behzad,Mohammadi,11,5
2909,Humanities,Monireh,Mohammadi,34,3
2910,Mathematics,Alip,Mohammed,31,2.8
2911,Mathematics,Nawaf,Mohammed,0,
2912,Humanities,Ola,Mohammed,4,5
2913,Theater,Ginette,Mohr,6,4.6
2914,Communication,Aidan,Moir,4,3.4
2915,Human Resources Management,Sana,Mojdeh,0,
2916,Psychology,Jenkin,Mok,12,3.1
2917,Accounting,Mike,Mokhtar,4,2
2918,Psychology,Katherine,Mokrue,0,
2919,Mathematics,Shahla,Molahajloo,1,2
2920,Political Science,Michael,Molavi,21,5
2921,Political Science,Shourideh,Molavi,7,4.6
2922,Mathematics,Jeta,Molla,4,5
2923,Humanities,Ilona,Molnar,1,5
2924,Languages,Kevin,Moloney,52,4.7
2925,Environmental Studies,Lewis,Molot,15,3.5
2926,Communication Studies,Daniela,Monaldi,77,3.3
2927,Nursing,Karen,Moncrieff,6,2.2
2928,Civil Engineering,Pulin,Mondal,33,1.7
2929,Mathematics,Georges,Monette,31,4.1
2930,Computer Science,Sahand,Monfared,0,
2931,Sociology,Radhika,Mongia,15,4.1
2932,Psychology,Myrium,Mongrain,0,
2933,Psychology,Myriam,Mongrain,0,
2934,Psychology,Myriam,Mongrain,356,4.5
2935,Languages,Carla,Montalto,11,2.4
2936,Film,Fabio,Montanari,0,
2937,Economics,Stein,Monteiro,1,3
2938,Communication Studies,Andrew,Monti,0,
2939,Environmental Studies,Felipe,Montoya,3,4.8
2940,Social Science,Dorathy,Moore,131,2.5
2941,Kinesiology,Anne,Moore,122,2.1
2942,Visual Arts,Laura,Moore,12,3.6
2943,Natural Sciences,John,Moores,6,4.2
2944,Philosophy,Parisa,Moosavi,5,4.8
2945,Psychology,Shulamit,Mor,33,2.3
2946,Health,Samadhi,Mora Severino,0,
2947,Nursing,Saeed,Moradian,9,3.2
2948,Mathematics,Phillip,Morenz,37,3.4
2949,Philosophy,Esteve,Morera,35,4
2950,History,Enrico,Moretto,9,4.9
2951,English,Brian,Morgan,17,3.8
2952,Business,Gareth,Morgan,15,3.6
2953,Chemistry,Sylvie,Morin,73,2.7
2954,Psychology,Stefania,Moro,6,4.7
2955,Accounting,Marisa,Morriello,32,4.4
2956,Social Science,Ray,Morris,0,
2957,Music,Kim,Morris,9,4
2958,History,Ronnie,Morris,2,5
2959,Psychology,Vanessa,Morris,1,5
2960,Writing,Christopher,Morris,4,4.5
2961,Sociology,Ian Anthony,Morrison,8,4.6
2962,Environmental Studies,Karen,Morrison,2,3.5
2963,English,Jared,Morrow,4,4
2964,Health Policy & Management,Marina,Morrow,7,2.7
2965,Music,Michael,Morse,0,
2966,Education,Gabby,Moser,0,
2967,Education,Gabrielle,Moser,1,4
2968,Anthropology,Rhiannon,Mosher,6,4.4
2969,Kinesiology,Merv,Mosher,287,4.4
2970,Mathematics,Rahele,Mosleh,0,
2971,Applied Mathematics,Rahele,Mosleh,0,
2972,Nursing,Ivona,Mostarac,7,2.1
2973,Mathematics,Miguel,Mota,3,3.4
2974,Mathematics,Pavlos,Motakis,13,4.4
2975,Music,David,Mott,4,4.8
2976,Philosophy,Josh,Moufawad-Paul,33,4
2977,Political Science,Laila,Mourad,1,5
2978,Sociology,Ratiba Hadj,Moussa,33,1.4
2979,Biology,Amira,Moustafa,1,2
2980,Mathematics,Vida,Movahedi,7,4
2981,Social Science,Farnoush,Mozafari,0,
2982,Chemistry,Michael,Mozurkewich,28,3.9
2983,Business Administration,Claudia,Mueller,2,2
2984,Humanities,Gabriele,Mueller,10,3
2985,Philosophy,Joshua,Mugg,10,3.9
2986,Physics,Nicole,Muir,0,
2987,Psychology,Nicole,Muir,4,4.2
2988,Psychology,Amy,Muise,25,4.6
2989,Biology,Spencer,Mukai,56,4.1
2990,English,Arun,Mukherjee,25,3.4
2991,Political Science,Ananya,Mukherjee Reed,17,3.3
2992,Social Work,Nick,Mule,15,4.3
2993,Psychology,Robert,Muller,17,4.6
2994,Accounting,Narmin,Multani,33,4.7
2995,Humanities,Meley,Mulugetta,6,3.5
2996,Environmental Studies,Peter,Mulvihill,24,4.3
2997,Social Science,Carla Lipsig,Mumme,1,1
2998,Humanities,Tanita,Muneshwar,7,3
2999,Film,Steven,Munro,1,4.5
3000,Kinesiology,Yvette,Munro,0,
3001,Mathematics,Daniel,Munther,2,4.8
3002,History,Daniel,Murchison,2,3
3003,Sociology,Carmela,Murdocca,19,4
3004,Business Administration,Robert,Murison,61,3.2
3005,Education,Farah,Murji,7,4.6
3006,Social Science,Olya,Murphy,6,3.8
3007,Political Science,Karen,Murray,27,3.8
3008,Anthropology,David,Murray,34,4.3
3009,Psychology,Richard,Murray,44,4.5
3010,Psychology,Susan,Murtha,59,3.5
3011,Biology,Mayoorey,Murugathasan,16,2.4
3012,History,Sara,Muscat,5,3.8
3013,Biology,Hassan,Mustafa,0,
3014,Management,Karakul,Mustafa,11,2.8
3015,Sociology,Marcello,Musto,42,3
3016,Political Science,David,Mutimer,15,3.9
3017,Science,Uzma,Muzamal,0,
3018,Natural Sciences,Adam,Muzzin,16,4.9
3019,Environmental Studies,Lisa,Myers,1,5
3020,Kinesiology,Jennifer,Myers,2,4
3021,Philosophy,Robert,Myers,12,4.2
3022,Anthropology,Natasha,Myers,11,3.2
3023,Sociology,Eric,Mykhalovskiy,28,3.7
3024,Mathematics,Stefan,Mykytiuk,25,4.1
3025,Social Science,Richard,Myles,0,
3026,Nursing,Zeneth,Myrie,18,1.3
3027,Mathematics,Neal,N Madras,1,3
3028,Economics,John,N Smithin,1,4
3029,Nursing,Larnes,Nabarreti,0,
3030,Nursing,Joy,Nabarreti,0,
3031,Philosophy,Salim,Nabi,2,5
3032,Philosophy,Gerard,Naddaf,31,3
3033,History,Robin,Nadeau,3,4.7
3034,History,Claus,Nader,9,2.9
3035,Women's Studies,Jawad,Nadim,6,5
3036,Liberal Studies,Khyati,Nagar,1,4
3037,French Studies,Roxaneh,Naghshi,38,2.6
3038,Mathematics,Kyeongah,Nah,4,4.3
3039,Music,Raisa,Nahkmanovich,4,4.1
3040,History,Noa,Nahmias,0,
3041,Music,Ravi,Naimpally,7,4.7
3042,Computer Science,Ali,Naini,4,3.8
3043,Health,Brian,Nairn,25,5
3044,Kinesiology,Yuka,Nakamura,22,3.2
3045,Political Science,Nima,Nakhaei,8,3.4
